date,time,unemp,rgdp,lrgdp,growth,ffr,cpi,infl,,,
1967-01-01,1,3.8,4324.9,8.372144298,0.9250,4.82,32.967,1.3,,,
1967-04-01,2,3.8,4328.7,8.373022545,0.0878,3.99,33.167,0.6048,,,
1967-07-01,3,3.8,4366.1,8.381625441,0.8603,3.89,33.5,0.9990,,,
1967-10-01,4,3.9,4401.2,8.38963251,0.8007,4.17,33.867,1.0896,,,
1968-01-01,5,3.7,4490.6,8.409741602,2.0109,4.79,34.2,0.9785,,,
1968-04-01,6,3.6,4566.4,8.426480427,1.6739,5.98,34.533,0.9690,,,
1968-07-01,7,3.5,4599.3,8.433659397,0.7179,5.94,35,1.3433,,,
1968-10-01,8,3.4,4619.8,8.438106693,0.4447,5.92,35.433,1.2296,,,
1969-01-01,9,3.4,4691.6,8.453528955,1.5422,6.57,35.867,1.2174,,,
1969-04-01,10,3.4,4706.7,8.456742305,0.3213,8.33,36.433,1.5657,,,
1969-07-01,11,3.6,4736.1,8.462969291,0.6227,8.98,36.933,1.3631,,,
1969-10-01,12,3.6,4715.5,8.458610234,-0.4359,8.94,37.5,1.5235,,,
1970-01-01,13,4.2,4707.1,8.456827286,-0.1783,8.57,38.1,1.5873,,,
1970-04-01,14,4.8,4715.4,8.458589027,0.1762,7.88,38.633,1.3893,,,
1970-07-01,15,5.2,4757.2,8.467414539,0.8826,6.70,39.033,1.0301,,,
1970-10-01,16,5.8,4708.3,8.457082188,-1.0332,5.57,39.6,1.4422,,,
1971-01-01,17,5.9,4834.3,8.48349162,2.6409,3.86,39.933,0.8374,,,
1971-04-01,18,5.9,4861.9,8.489184587,0.5693,4.56,40.3,0.9148,,,
1971-07-01,19,6.0,4900,8.496990484,0.7806,5.47,40.7,0.9877,,,
1971-10-01,20,5.9,4914.3,8.499904601,0.2914,4.75,41,0.7344,,,
1972-01-01,21,5.8,5002.4,8.517673076,1.7768,3.54,41.333,0.8089,,,
1972-04-01,22,5.7,5118.3,8.540577632,2.2905,4.30,41.6,0.6439,,,
1972-07-01,23,5.6,5165.4,8.549737823,0.9160,4.74,41.933,0.7973,,,
1972-10-01,24,5.4,5251.2,8.566211901,1.6474,5.14,42.367,1.0297,,,
1973-01-01,25,4.9,5380.5,8.590536586,2.4325,6.54,43.033,1.5598,,,
1973-04-01,26,4.9,5441.5,8.601810037,1.1273,7.82,43.933,2.0698,,,
1973-07-01,27,4.8,5411.9,8.596355512,-0.5455,10.56,44.8,1.9542,,,
1973-10-01,28,4.8,5462.4,8.605643533,0.9288,10.00,45.933,2.4976,,,
1974-01-01,29,5.1,5417,8.597297436,-0.8346,9.32,47.3,2.9326,,,
1974-04-01,30,5.2,5431.3,8.599933795,0.2636,11.25,48.567,2.6434,,,
1974-07-01,31,5.6,5378.7,8.590201988,-0.9732,12.09,49.933,2.7738,,,
