REF_DATE,VALUE
23-Jun,4.7363
23-May,4.4929
23-Apr,4.4924
23-Mar,4.4968
23-Feb,4.4764
23-Jan,4.2451
22-Dec,4.2498
22-Nov,3.7477
22-Oct,3.2348
22-Sep,3.213
22-Aug,2.4812
22-Jul,2.4656
22-Jun,1.4479
22-May,0.9486
22-Apr,0.9208
22-Mar,0.4403
22-Feb,0.1754
22-Jan,0.1811
21-Dec,0.1274
21-Nov,0.2078
21-Oct,0.2025
21-Sep,0.1824
21-Aug,0.2026
21-Jul,0.193
21-Jun,0.1873
21-May,0.1872
21-Apr,0.1669
21-Mar,0.1529
21-Feb,0.2143
21-Jan,0.1826
20-Dec,0.1741
20-Nov,0.2336
20-Oct,0.2337
20-Sep,0.2181
20-Aug,0.2337
20-Jul,0.2407
20-Jun,0.2327
20-May,0.2379
20-Apr,0.2341
20-Mar,0.7406
20-Feb,1.7485
20-Jan,1.7487
19-Dec,1.7479
19-Nov,1.7487
19-Oct,1.7472
19-Sep,1.7454
19-Aug,1.7481
19-Jul,1.7469
19-Jun,1.7429
19-May,1.745
19-Apr,1.7459
19-Mar,1.7461
19-Feb,1.7455
19-Jan,1.7462
18-Dec,1.7516
18-Nov,1.7473
18-Oct,1.7476
18-Sep,1.4979
18-Aug,1.4961
18-Jul,1.4948
18-Jun,1.2464
18-May,1.2434
18-Apr,1.2461
18-Mar,1.2457
18-Feb,1.2367
18-Jan,1.2461
17-Dec,0.997
17-Nov,0.9916
17-Oct,0.9955
17-Sep,0.9941
17-Aug,0.7473
17-Jul,0.7414
17-Jun,0.4941
17-May,0.4886
17-Apr,0.4953
17-Mar,0.5003
17-Feb,0.4887
17-Jan,0.4885
16-Dec,0.4936
16-Nov,0.4893
16-Oct,0.4883
16-Sep,0.4969
16-Aug,0.4926
16-Jul,0.5078
16-Jun,0.5035
16-May,0.4974
16-Apr,0.5005
16-Mar,0.4981
16-Feb,0.4991
16-Jan,0.5153
15-Dec,0.5242
15-Nov,0.4967
15-Oct,0.4991
15-Sep,0.5002
15-Aug,0.5026
15-Jul,0.5019
15-Jun,0.7464
15-May,0.727
15-Apr,0.7473
15-Mar,0.7558
15-Feb,0.7595
15-Jan,0.7502
14-Dec,1.0114
14-Nov,1
14-Oct,1.0024
14-Sep,0.9979
14-Aug,0.9976
14-Jul,0.999
14-Jun,0.9988
14-May,0.9978
14-Apr,0.9978
14-Mar,0.998
14-Feb,0.9945
14-Jan,0.9993
13-Dec,1.0012
13-Nov,0.9997
13-Oct,0.9994
13-Sep,0.9948
13-Aug,0.9978
13-Jul,0.9998
13-Jun,1.0067
13-May,1.0063
13-Apr,1.0036
13-Mar,1.0065
13-Feb,1.0072
13-Jan,1.0048
