"REF_DATE","GEO","DGUID","Receipts, payments and balances","Current account","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Total current account","Dollars","81","millions","6","v61915244","1.1.1","26371","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Goods and services","Dollars","81","millions","6","v61915245","1.1.2","23704","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Goods","Dollars","81","millions","6","v61915246","1.1.3","21026","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Services","Dollars","81","millions","6","v61915248","1.1.5","2678","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Travel","Dollars","81","millions","6","v61915249","1.1.6","856","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Transportation","Dollars","81","millions","6","v61915250","1.1.7","759","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Commercial services","Dollars","81","millions","6","v61915251","1.1.8","916","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Government services","Dollars","81","millions","6","v61915252","1.1.9","147","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Primary income","Dollars","81","millions","6","v61915253","1.1.10","2274","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Compensation of employees","Dollars","81","millions","6","v61915254","1.1.11","83","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Investment income","Dollars","81","millions","6","v61915255","1.1.12","2191","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Direct investment income","Dollars","81","millions","6","v61915256","1.1.13","158","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Direct investment income, interest","Dollars","81","millions","6","v61915257","1.1.14","0","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Direct investment income, profits","Dollars","81","millions","6","v61915258","1.1.15","158","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Direct investment income, dividends","Dollars","81","millions","6","v61915259","1.1.16","458","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Direct investment income, reinvested earnings","Dollars","81","millions","6","v61915260","1.1.17","-300","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Portfolio investment income","Dollars","81","millions","6","v61915261","1.1.18","93","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Portfolio investment income, interest on debt securities","Dollars","81","millions","6","v61915262","1.1.19","11","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Portfolio investment, interest on bonds","Dollars","81","millions","6","v61915263","1.1.20","11","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Portfolio investment, interest on money market instruments","Dollars","81","millions","6","v61915264","1.1.21","","..","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Portfolio investment income, dividends on equity and investment fund shares","Dollars","81","millions","6","v61915265","1.1.22","82","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Other investment income","Dollars","81","millions","6","v61915266","1.1.23","1940","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Secondary income","Dollars","81","millions","6","v61915267","1.1.24","392","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Private transfers","Dollars","81","millions","6","v61915268","1.1.25","125","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Other private transfers","Dollars","81","millions","6","v61915269","1.1.26","125","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Government transfers","Dollars","81","millions","6","v61915270","1.1.30","267","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Canadian taxes","Dollars","81","millions","6","v61915271","1.1.31","263","","","","0"
"1981-01","Canada","2016A000011124","Receipts, seasonally adjusted","Other transfers of government","Dollars","81","millions","6","v61915272","1.1.33","5","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Total current account","Dollars","81","millions","6","v61915273","1.2.1","30056","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Goods and services","Dollars","81","millions","6","v61915274","1.2.2","22997","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Goods","Dollars","81","millions","6","v61915275","1.2.3","19285","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Services","Dollars","81","millions","6","v61915276","1.2.5","3711","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Travel","Dollars","81","millions","6","v61915277","1.2.6","995","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Transportation","Dollars","81","millions","6","v61915278","1.2.7","1044","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Commercial services","Dollars","81","millions","6","v61915279","1.2.8","1529","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Government services","Dollars","81","millions","6","v61915280","1.2.9","142","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Primary income","Dollars","81","millions","6","v61915281","1.2.10","6601","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Compensation of employees","Dollars","81","millions","6","v61915282","1.2.11","122","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Investment income","Dollars","81","millions","6","v61915283","1.2.12","6478","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Direct investment income","Dollars","81","millions","6","v61915284","1.2.13","2194","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Direct investment income, interest","Dollars","81","millions","6","v61915285","1.2.14","174","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Direct investment income, profits","Dollars","81","millions","6","v61915286","1.2.15","2020","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Direct investment income, dividends","Dollars","81","millions","6","v61915287","1.2.16","713","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Direct investment income, reinvested earnings","Dollars","81","millions","6","v61915288","1.2.17","1307","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Portfolio investment income","Dollars","81","millions","6","v61915289","1.2.18","1518","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Portfolio investment income, interest on debt securities","Dollars","81","millions","6","v61915290","1.2.19","1398","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Portfolio investment, interest on bonds","Dollars","81","millions","6","v61915291","1.2.20","1202","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Portfolio investment, interest on money market instruments","Dollars","81","millions","6","v61915292","1.2.21","196","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Portfolio investment income, dividends on equity and investment fund shares","Dollars","81","millions","6","v61915293","1.2.22","120","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Other investment income","Dollars","81","millions","6","v61915294","1.2.23","2766","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Secondary income","Dollars","81","millions","6","v61915295","1.2.24","458","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Private transfers","Dollars","81","millions","6","v61915296","1.2.25","186","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Other private transfers","Dollars","81","millions","6","v61915297","1.2.26","123","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Personal transfers","Dollars","81","millions","6","v61915298","1.2.27","64","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Other private non-personal transfers","Dollars","81","millions","6","v61915299","1.2.28","60","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Foreign taxes","Dollars","81","millions","6","v61915300","1.2.29","63","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Government transfers","Dollars","81","millions","6","v61915301","1.2.30","272","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Official contributions","Dollars","81","millions","6","v61915302","1.2.32","237","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Other transfers of government","Dollars","81","millions","6","v61915303","1.2.33","35","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Total current account","Dollars","81","millions","6","v61915304","1.3.1","-3685","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Goods and services","Dollars","81","millions","6","v61915305","1.3.2","708","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Goods","Dollars","81","millions","6","v61915306","1.3.3","1741","","","","0"
