"REF_DATE","GEO","DGUID","Wages","Type of work","North American Industry Classification System (NAICS)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997-01","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.63","","","","2"
"1997-02","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.64","","","","2"
"1997-03","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.63","","","","2"
"1997-04","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.67","","","","2"
"1997-05","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.59","","","","2"
"1997-06","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.48","","","","2"
"1997-07","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.35","","","","2"
"1997-08","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.36","","","","2"
"1997-09","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.66","","","","2"
"1997-10","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.66","","","","2"
"1997-11","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.72","","","","2"
"1997-12","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.73","","","","2"
"1998-01","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.81","","","","2"
"1998-02","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.81","","","","2"
"1998-03","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.79","","","","2"
"1998-04","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.82","","","","2"
"1998-05","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.75","","","","2"
"1998-06","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.72","","","","2"
"1998-07","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.52","","","","2"
"1998-08","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.56","","","","2"
"1998-09","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.86","","","","2"
"1998-10","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.90","","","","2"
"1998-11","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.95","","","","2"
"1998-12","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.96","","","","2"
"1999-01","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.08","","","","2"
"1999-02","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.09","","","","2"
"1999-03","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.13","","","","2"
"1999-04","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.15","","","","2"
"1999-05","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.09","","","","2"
"1999-06","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.05","","","","2"
"1999-07","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","15.95","","","","2"
"1999-08","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.08","","","","2"
"1999-09","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.29","","","","2"
"1999-10","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.33","","","","2"
"1999-11","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.39","","","","2"
"1999-12","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.45","","","","2"
"2000-01","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.61","","","","2"
"2000-02","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.56","","","","2"
"2000-03","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.58","","","","2"
"2000-04","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.72","","","","2"
"2000-05","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.56","","","","2"
"2000-06","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.49","","","","2"
"2000-07","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.40","","","","2"
"2000-08","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.53","","","","2"
"2000-09","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.84","","","","2"
"2000-10","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.87","","","","2"
"2000-11","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.88","","","","2"
"2000-12","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","16.92","","","","2"
"2001-01","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","17.09","","","","2"
"2001-02","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2132579","1.2.1.1.1.1","17.17","","","","2"
